nctId,interventions_found,arms_found,drugs_extracted,has_resultsSection,best_guess_interventions_type,best_guess_arms_type
NCT07141914,2,2,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'interventionNames'])"
NCT05372952,1,0,0,0,"dict_keys(['type', 'name', 'description'])",
NCT03445754,2,2,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT03807661,2,1,0,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT06431763,2,2,2,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT03982420,1,0,0,1,"dict_keys(['type', 'name', 'description', 'otherNames'])",
NCT06261723,1,2,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'description', 'interventionNames'])"
NCT05888103,2,2,2,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels', 'otherNames'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT01778569,1,1,1,0,"dict_keys(['name', 'affiliation', 'role'])","dict_keys(['label', 'url'])"
NCT03321552,2,1,0,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT04316676,4,1,1,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT07288164,2,2,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'description', 'interventionNames'])"
NCT02311335,1,1,1,0,"dict_keys(['name', 'affiliation', 'role'])","dict_keys(['label', 'url'])"
NCT05410548,2,2,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT05232474,2,2,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT06626659,2,2,2,0,"dict_keys(['name', 'affiliation', 'role'])","dict_keys(['label', 'description'])"
NCT04536038,1,2,0,1,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description'])"
NCT05556681,1,1,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT05877235,2,3,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT04053166,5,2,1,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT04068909,1,1,1,0,"dict_keys(['name', 'affiliation', 'role'])","dict_keys(['label', 'description'])"
NCT04382963,3,3,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'type', 'description', 'interventionNames'])"
NCT06450561,1,1,0,0,"dict_keys(['type', 'name', 'description', 'armGroupLabels'])","dict_keys(['label', 'description', 'interventionNames'])"
